Aseguradora,Plan,Tipo_Cliente,Mes,Porcentaje_Descuento
La Positiva Seguros,Medisalud,Nuevo,Mayo,0
La Positiva Seguros,Medisalud,Continuidad,Mayo,0
La Positiva Seguros,Medisalud Base,Nuevo,Mayo,0
La Positiva Seguros,Medisalud Base,Continuidad,Mayo,0
La Positiva Seguros,Medisalud Lite,Nuevo,Mayo,0
La Positiva Seguros,Medisalud Lite,Continuidad,Mayo,0
La Positiva Seguros,Medisalud Plus,Nuevo,Mayo,0
La Positiva Seguros,Medisalud Plus,Continuidad,Mayo,0
La Positiva Seguros,Medisalud Premium,Nuevo,Mayo,0
La Positiva Seguros,Medisalud Premium,Continuidad,Mayo,0
La Positiva Seguros,Medisalud Senior +,Nuevo,Mayo,0
La Positiva Seguros,Medisalud Senior +,Continuidad,Mayo,0
Mapfre Seguros,Trébol Salud,Nuevo,Mayo,0
Mapfre Seguros,Trébol Salud,Continuidad,Mayo,0
Mapfre Seguros,Viva Salud,Nuevo,Mayo,0
Mapfre Seguros,Viva Salud,Continuidad,Mayo,0
Pacífico Seguros,Esencial,Nuevo,Mayo,20
Pacífico Seguros,Esencial,Continuidad,Mayo,15
Pacífico Seguros,Esencial Plus,Nuevo,Mayo,20
Pacífico Seguros,Esencial Plus,Continuidad,Mayo,15
Pacífico Seguros,Medicvida Internacional,Nuevo,Mayo,25
Pacífico Seguros,Medicvida Internacional,Continuidad,Mayo,15
Pacífico Seguros,Medicvida Nacional,Nuevo,Mayo,25
Pacífico Seguros,Medicvida Nacional,Continuidad,Mayo,15
Pacífico Seguros,Multisalud,Nuevo,Mayo,35
Pacífico Seguros,Multisalud,Continuidad,Mayo,15
Pacífico Seguros,Multisalud Base,Nuevo,Mayo,30
Pacífico Seguros,Multisalud Base,Continuidad,Mayo,15
Pacífico Seguros,Red Preferente,Nuevo,Mayo,25
Pacífico Seguros,Red Preferente,Continuidad,Mayo,15
Rímac Seguros,Full Salud,Nuevo,Mayo,0
Rímac Seguros,Full Salud,Continuidad,Mayo,0
Rímac Seguros,Oro - Plan Completo,Nuevo,Mayo,0
Rímac Seguros,Oro - Plan Completo,Continuidad,Mayo,0
Rímac Seguros,Oro - Plan Red,Nuevo,Mayo,0
Rímac Seguros,Oro - Plan Red,Continuidad,Mayo,0
Rímac Seguros,Oro - Plan preferente,Nuevo,Mayo,0
Rímac Seguros,Oro - Plan preferente,Continuidad,Mayo,0
Rímac Seguros,Red Médica,Nuevo,Mayo,0
Rímac Seguros,Red Médica,Continuidad,Mayo,0
Rímac Seguros,Red Preferente,Nuevo,Mayo,0
Rímac Seguros,Red Preferente,Continuidad,Mayo,0
Rímac Seguros,Salud Preferencial,Nuevo,Mayo,0
Rímac Seguros,Salud Preferencial,Continuidad,Mayo,0
La Positiva Seguros,Medisalud,Nuevo,Junio,0
La Positiva Seguros,Medisalud,Continuidad,Junio,0
La Positiva Seguros,Medisalud Base,Nuevo,Junio,0
La Positiva Seguros,Medisalud Base,Continuidad,Junio,0
La Positiva Seguros,Medisalud Lite,Nuevo,Junio,0
La Positiva Seguros,Medisalud Lite,Continuidad,Junio,0
La Positiva Seguros,Medisalud Plus,Nuevo,Junio,0
La Positiva Seguros,Medisalud Plus,Continuidad,Junio,0
La Positiva Seguros,Medisalud Premium,Nuevo,Junio,0
La Positiva Seguros,Medisalud Premium,Continuidad,Junio,0
La Positiva Seguros,Medisalud Senior +,Nuevo,Junio,0
La Positiva Seguros,Medisalud Senior +,Continuidad,Junio,0
Mapfre Seguros,Trébol Salud,Nuevo,Junio,30
Mapfre Seguros,Trébol Salud,Continuidad,Junio,30
Mapfre Seguros,Viva Salud,Nuevo,Junio,30
Mapfre Seguros,Viva Salud,Continuidad,Junio,30
Pacífico Seguros,Esencial,Nuevo,Junio,0
Pacífico Seguros,Esencial,Continuidad,Junio,0
Pacífico Seguros,Esencial Plus,Nuevo,Junio,0
Pacífico Seguros,Esencial Plus,Continuidad,Junio,0
Pacífico Seguros,Medicvida Internacional,Nuevo,Junio,0
Pacífico Seguros,Medicvida Internacional,Continuidad,Junio,0
Pacífico Seguros,Medicvida Nacional,Nuevo,Junio,0
Pacífico Seguros,Medicvida Nacional,Continuidad,Junio,0
Pacífico Seguros,Multisalud,Nuevo,Junio,0
Pacífico Seguros,Multisalud,Continuidad,Junio,0
Pacífico Seguros,Multisalud Base,Nuevo,Junio,0
Pacífico Seguros,Multisalud Base,Continuidad,Junio,0
Pacífico Seguros,Red Preferente,Nuevo,Junio,0
Pacífico Seguros,Red Preferente,Continuidad,Junio,0
Rímac Seguros,Full Salud,Nuevo,Junio,0
Rímac Seguros,Full Salud,Continuidad,Junio,0
Rímac Seguros,Oro - Plan Completo,Nuevo,Junio,0
Rímac Seguros,Oro - Plan Completo,Continuidad,Junio,0
Rímac Seguros,Oro - Plan Red,Nuevo,Junio,0
Rímac Seguros,Oro - Plan Red,Continuidad,Junio,0
Rímac Seguros,Oro - Plan preferente,Nuevo,Junio,0
Rímac Seguros,Oro - Plan preferente,Continuidad,Junio,0
Rímac Seguros,Red Médica,Nuevo,Junio,0
Rímac Seguros,Red Médica,Continuidad,Junio,0
Rímac Seguros,Red Preferente,Nuevo,Junio,0
Rímac Seguros,Red Preferente,Continuidad,Junio,0
Rímac Seguros,Salud Preferencial,Nuevo,Junio,0
Rímac Seguros,Salud Preferencial,Continuidad,Junio,0
La Positiva Seguros,Medisalud,Nuevo,Abril,0
La Positiva Seguros,Medisalud,Continuidad,Abril,0
La Positiva Seguros,Medisalud Base,Nuevo,Abril,0
La Positiva Seguros,Medisalud Base,Continuidad,Abril,0
La Positiva Seguros,Medisalud Lite,Nuevo,Abril,0
La Positiva Seguros,Medisalud Lite,Continuidad,Abril,0
La Positiva Seguros,Medisalud Plus,Nuevo,Abril,0
La Positiva Seguros,Medisalud Plus,Continuidad,Abril,0
La Positiva Seguros,Medisalud Premium,Nuevo,Abril,0
La Positiva Seguros,Medisalud Premium,Continuidad,Abril,0
La Positiva Seguros,Medisalud Senior +,Nuevo,Abril,0
La Positiva Seguros,Medisalud Senior +,Continuidad,Abril,0
Mapfre Seguros,Trébol Salud,Nuevo,Abril,30
Mapfre Seguros,Trébol Salud,Continuidad,Abril,30
Mapfre Seguros,Viva Salud,Nuevo,Abril,30
Mapfre Seguros,Viva Salud,Continuidad,Abril,30
Pacífico Seguros,Esencial,Nuevo,Abril,20
Pacífico Seguros,Esencial,Continuidad,Abril,15
Pacífico Seguros,Esencial Plus,Nuevo,Abril,20
Pacífico Seguros,Esencial Plus,Continuidad,Abril,15
Pacífico Seguros,Medicvida Internacional,Nuevo,Abril,25
Pacífico Seguros,Medicvida Internacional,Continuidad,Abril,15
Pacífico Seguros,Medicvida Nacional,Nuevo,Abril,25
Pacífico Seguros,Medicvida Nacional,Continuidad,Abril,15
Pacífico Seguros,Multisalud,Nuevo,Abril,35
