Aseguradora,Plan,Continuidad,Edad_Min,Edad_Max,Asegurados_Min,Forma_Pago,Score_Rimac,Cliente_Rimac,Salud,Mes,Porcentaje_Descuento
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,4
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,8
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,11
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,16
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud Lite,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,26
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,29
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,31
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,35
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,31
La Positiva Seguros,Medisalud Base,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,35
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,20
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,24
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,26
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,30
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,26
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,29
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,31
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,35
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud Plus,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,15
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,19
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,21
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,25
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud Premium,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Sano,TODOS,0
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Sano,TODOS,5
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Sano,TODOS,8
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Sano,TODOS,12
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Mensual,TODOS,TODOS,Crónico,TODOS,0
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,1,Contado,TODOS,TODOS,Crónico,TODOS,5
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Mensual,TODOS,TODOS,Crónico,TODOS,8
La Positiva Seguros,Medisalud Senior +,TODOS,TODOS,TODOS,2,Contado,TODOS,TODOS,Crónico,TODOS,12
Mapfre Seguros,Trébol Salud,Nuevo,1,40,1,TODOS,TODOS,TODOS,TODOS,Julio,35
Mapfre Seguros,Trébol Salud,Nuevo,41,55,1,TODOS,TODOS,TODOS,TODOS,Julio,30
