Aseguradora,Plan,Edad,Sexo,Precio_Sano,Precio_Cronico
Rímac Seguros,Red Preferente,0,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,1,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,2,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,3,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,4,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,5,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,6,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,7,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,8,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,9,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,10,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,11,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,12,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,13,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,14,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,15,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,16,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,17,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,18,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,19,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,20,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,21,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,22,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,23,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,24,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,25,Ambos,4418.0,4418.0
Rímac Seguros,Red Preferente,26,Ambos,4592.0,4592.0
Rímac Seguros,Red Preferente,27,Ambos,4779.0,4779.0
Rímac Seguros,Red Preferente,28,Ambos,4805.0,4805.0
Rímac Seguros,Red Preferente,29,Ambos,4832.0,4832.0
Rímac Seguros,Red Preferente,30,Ambos,4859.0,4859.0
Rímac Seguros,Red Preferente,31,Ambos,4959.0,4959.0
Rímac Seguros,Red Preferente,32,Ambos,4970.0,4970.0
Rímac Seguros,Red Preferente,33,Ambos,4999.0,4999.0
Rímac Seguros,Red Preferente,34,Ambos,5043.0,5043.0
Rímac Seguros,Red Preferente,35,Ambos,5080.0,5080.0
Rímac Seguros,Red Preferente,36,Ambos,5127.0,5127.0
Rímac Seguros,Red Preferente,37,Ambos,5216.0,5216.0
Rímac Seguros,Red Preferente,38,Ambos,5229.0,5299.0
Rímac Seguros,Red Preferente,39,Ambos,5299.0,5299.0
Rímac Seguros,Red Preferente,40,Ambos,5333.0,5333.0
Rímac Seguros,Red Preferente,41,Ambos,5868.0,5868.0
Rímac Seguros,Red Preferente,42,Ambos,6137.0,6137.0
Rímac Seguros,Red Preferente,43,Ambos,6330.0,6330.0
Rímac Seguros,Red Preferente,44,Ambos,6487.0,6487.0
Rímac Seguros,Red Preferente,45,Ambos,6625.0,6625.0
Rímac Seguros,Red Preferente,46,Ambos,6782.0,6782.0
Rímac Seguros,Red Preferente,47,Ambos,7067.0,7067.0
Rímac Seguros,Red Preferente,48,Ambos,7445.0,7445.0
Rímac Seguros,Red Preferente,49,Ambos,7766.0,7766.0
Rímac Seguros,Red Preferente,50,Ambos,8287.0,8287.0
Rímac Seguros,Red Preferente,51,Ambos,8736.0,8736.0
Rímac Seguros,Red Preferente,52,Ambos,9147.0,9147.0
Rímac Seguros,Red Preferente,53,Ambos,9883.0,9883.0
Rímac Seguros,Red Preferente,54,Ambos,10223.0,10223.0
Rímac Seguros,Red Preferente,55,Ambos,10654.0,10654.0
Rímac Seguros,Red Preferente,56,Ambos,11159.0,11159.0
Rímac Seguros,Red Preferente,57,Ambos,11932.0,11932.0
Rímac Seguros,Red Preferente,58,Ambos,12654.0,12654.0
Rímac Seguros,Red Preferente,59,Ambos,13304.0,13304.0
Rímac Seguros,Red Preferente,60,Ambos,14135.0,14135.0
Rímac Seguros,Red Preferente,61,Ambos,14546.0,14546.0
Rímac Seguros,Red Preferente,62,Ambos,15841.0,15841.0
Rímac Seguros,Red Preferente,63,Ambos,17551.0,17551.0
Rímac Seguros,Red Preferente,64,Ambos,19301.0,19301.0
Rímac Seguros,Red Preferente,65,Ambos,21139.0,21139.0
Rímac Seguros,Red Preferente,66,Ambos,22352.0,22352.0
Rímac Seguros,Red Preferente,67,Ambos,23888.0,23888.0
Rímac Seguros,Red Preferente,68,Ambos,25513.0,25513.0
Rímac Seguros,Red Preferente,69,Ambos,26749.0,26749.0
Rímac Seguros,Red Preferente,70,Ambos,28545.0,28545.0
Rímac Seguros,Red Preferente,71,Ambos,30182.0,30182.0
Rímac Seguros,Red Preferente,72,Ambos,30182.0,30182.0
Rímac Seguros,Red Preferente,73,Ambos,30182.0,30182.0
Rímac Seguros,Red Preferente,74,Ambos,30182.0,30182.0
Rímac Seguros,Red Preferente,75,Ambos,30182.0,30182.0
Rímac Seguros,Red Preferente,76,Ambos,32104.0,32104.0
Rímac Seguros,Red Preferente,77,Ambos,32104.0,32104.0
Rímac Seguros,Red Preferente,78,Ambos,32104.0,32104.0
Rímac Seguros,Red Preferente,79,Ambos,32104.0,32104.0
Rímac Seguros,Red Preferente,80,Ambos,32104.0,32104.0
Rímac Seguros,Red Preferente,81,Ambos,35406.0,35406.0
Rímac Seguros,Red Médica,0,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,1,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,2,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,3,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,4,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,5,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,6,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,7,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,8,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,9,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,10,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,11,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,12,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,13,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,14,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,15,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,16,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,17,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,18,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,19,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,20,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,21,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,22,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,23,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,24,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,25,Ambos,5005.0,5005.0
Rímac Seguros,Red Médica,26,Ambos,5656.0,5656.0
